company,location,country,industry,date,year,month,total_laid_off,percentage_laid_off,has_count,city,is_estimated
Swiggy,Bengaluru,India,Food,2020-04-21,2020.0,2020-04,800.0,,True,Bengaluru,False
Paytm,New Delhi,India,Finance,2020-04-21,2020.0,2020-04,500.0,,True,New Delhi,False
BlackBuck,Bengaluru,India,Logistics,2020-04-17,2020.0,2020-04,200.0,,True,Bengaluru,False
CleverTap,Mumbai,India,Marketing,2020-04-16,2020.0,2020-04,60.0,0.2,True,Mumbai,False
Shop101,Mumbai,India,Retail,2020-04-15,2020.0,2020-04,200.0,0.4,True,Mumbai,False
Meesho,Bengaluru,India,Retail,2020-04-08,2020.0,2020-04,200.0,0.28,True,Bengaluru,False
Shuttl,New Delhi,India,Transportation,2020-04-02,2020.0,2020-04,40.0,,True,New Delhi,False
Instamojo,Bengaluru,India,Finance,2020-04-02,2020.0,2020-04,6.0,0.06,True,Bengaluru,False
Capillary,Bengaluru,India,Retail,2020-04-02,2020.0,2020-04,130.0,,False,Bengaluru,True
Acko,Mumbai,India,Finance,2020-04-01,2020.0,2020-04,45.0,0.09,True,Mumbai,False
FabHotels,New Delhi,India,Travel,2020-03-30,2020.0,2020-03,80.0,0.2,True,New Delhi,False
TravelTriangle,Gurugram,India,Travel,2020-03-28,2020.0,2020-03,250.0,0.5,True,Gurugram,False
Fareportal,Gurugram,India,Travel,2020-03-26,2020.0,2020-03,200.0,,True,Gurugram,False
Bounce,Bengaluru,India,Transportation,2020-03-19,2020.0,2020-03,120.0,,True,Bengaluru,False
